window_start_utc,window_end_utc,device,packet_count,packet_rate,mean_inter_arrival_ms,std_inter_arrival_ms,min_inter_arrival_ms,max_inter_arrival_ms,duplicate_ratio,seq_increment_mean,seq_increment_std,unique_modes,dominant_mode,label
2026-05-15T14:26:32.535Z,2026-05-15T14:27:32.535Z,esp32_2,6,0.1,9732.4,2399.42,6776.0,12494.0,0.0,0.0,0.0,1,LEGITIMATE,LEGITIMATE
2026-05-15T14:26:34.603Z,2026-05-15T14:27:34.603Z,esp32_3,12,0.2,5054.91,575.18,4141.0,5812.0,0.0,1.0,0.0,1,NORMAL,NORMAL
2026-05-15T14:26:35.208Z,2026-05-15T14:27:35.208Z,esp32_1,7,0.1167,8695.33,2754.29,5916.0,13956.0,0.0,0.0,0.0,1,LEGITIMATE,LEGITIMATE
2026-05-15T14:26:42.535Z,2026-05-15T14:27:42.535Z,esp32_2,6,0.1,9728.4,2396.35,6776.0,12494.0,0.0,0.0,0.0,1,LEGITIMATE,LEGITIMATE
2026-05-15T14:26:44.603Z,2026-05-15T14:27:44.603Z,esp32_3,12,0.2,5165.18,495.14,4178.0,5765.0,0.0,1.0,0.0,1,NORMAL,NORMAL
2026-05-15T14:26:45.208Z,2026-05-15T14:27:45.208Z,esp32_1,6,0.1,9081.0,2865.47,5916.0,13956.0,0.0,0.0,0.0,1,LEGITIMATE,LEGITIMATE
2026-05-15T14:26:52.535Z,2026-05-15T14:27:52.535Z,esp32_2,7,0.1167,9427.67,2288.59,6776.0,12494.0,0.0,0.0,0.0,1,LEGITIMATE,LEGITIMATE
2026-05-15T14:26:54.603Z,2026-05-15T14:27:54.603Z,esp32_3,12,0.2,5181.0,363.15,4535.0,5765.0,0.0,1.0,0.0,1,NORMAL,NORMAL
2026-05-15T14:26:55.208Z,2026-05-15T14:27:55.208Z,esp32_1,6,0.1,9651.8,3289.23,5916.0,13956.0,0.0,0.0,0.0,1,LEGITIMATE,LEGITIMATE
2026-05-15T14:27:02.535Z,2026-05-15T14:28:02.535Z,esp32_2,6,0.1,10263.2,1770.52,7924.0,12494.0,0.0,0.0,0.0,1,LEGITIMATE,LEGITIMATE
2026-05-15T14:27:04.603Z,2026-05-15T14:28:04.603Z,esp32_3,12,0.2,5086.45,404.56,4535.0,5765.0,0.0,1.0,0.0,1,NORMAL,NORMAL
2026-05-15T14:27:05.208Z,2026-05-15T14:28:05.208Z,esp32_1,6,0.1,9236.6,2816.8,5916.0,13078.0,0.0,0.0,0.0,1,LEGITIMATE,LEGITIMATE
2026-05-15T14:27:12.535Z,2026-05-15T14:28:12.535Z,esp32_2,6,0.1,10356.0,1892.94,7924.0,12958.0,0.0,0.0,0.0,1,LEGITIMATE,LEGITIMATE
2026-05-15T14:27:14.603Z,2026-05-15T14:28:14.603Z,esp32_3,47,0.7833,1289.85,1999.02,191.0,5765.0,0.0,1.0217,0.1458,2,DOS_FLOOD,DOS_FLOOD
2026-05-15T14:27:15.208Z,2026-05-15T14:28:15.208Z,esp32_1,6,0.1,10437.8,2750.69,5916.0,13078.0,0.0,0.0,0.0,1,LEGITIMATE,LEGITIMATE
2026-05-15T14:27:22.535Z,2026-05-15T14:28:22.535Z,esp32_2,6,0.1,9828.2,2039.92,7924.0,12958.0,0.0,0.0,0.0,1,LEGITIMATE,LEGITIMATE
2026-05-15T14:27:24.603Z,2026-05-15T14:28:24.603Z,esp32_3,86,1.4333,699.66,1433.91,1.0,5765.0,0.0,1.0118,0.1078,2,DOS_FLOOD,DOS_FLOOD
2026-05-15T14:27:25.208Z,2026-05-15T14:28:25.208Z,esp32_1,5,0.0833,11630.75,1646.96,8878.0,13078.0,0.0,0.0,0.0,1,LEGITIMATE,LEGITIMATE
2026-05-15T14:27:32.535Z,2026-05-15T14:28:32.535Z,esp32_2,6,0.1,9884.2,2089.84,7924.0,12958.0,0.0,0.0,0.0,1,LEGITIMATE,LEGITIMATE
2026-05-15T14:27:34.603Z,2026-05-15T14:28:34.603Z,esp32_3,112,1.8667,502.37,1073.3,1.0,5728.0,0.0,1.018,0.133,3,DOS_FLOOD,DOS_FLOOD
2026-05-15T14:27:35.208Z,2026-05-15T14:28:35.208Z,esp32_1,5,0.0833,11908.75,1936.24,8878.0,14190.0,0.0,0.0,0.0,1,LEGITIMATE,LEGITIMATE
2026-05-15T14:27:42.535Z,2026-05-15T14:28:42.535Z,esp32_2,6,0.1,9593.6,2417.54,6471.0,12958.0,0.0,0.0,0.0,1,LEGITIMATE,LEGITIMATE
2026-05-15T14:27:44.603Z,2026-05-15T14:28:44.603Z,esp32_3,110,1.8333,413.19,853.99,1.0,5073.0,0.0,1.0183,0.1342,3,DOS_FLOOD,DOS_FLOOD
2026-05-15T14:27:45.208Z,2026-05-15T14:28:45.208Z,esp32_1,5,0.0833,11908.75,1936.24,8878.0,14190.0,0.0,0.0,0.0,1,LEGITIMATE,LEGITIMATE
2026-05-15T14:27:52.535Z,2026-05-15T14:28:52.535Z,esp32_2,6,0.1,10227.8,2457.04,6471.0,12958.0,0.0,0.0,0.0,1,LEGITIMATE,LEGITIMATE
2026-05-15T14:27:54.603Z,2026-05-15T14:28:54.603Z,esp32_3,108,1.8,330.54,607.93,1.0,4692.0,0.0,1.0187,0.1354,3,DOS_FLOOD,DOS_FLOOD
2026-05-15T14:27:55.208Z,2026-05-15T14:28:55.208Z,esp32_1,6,0.1,11206.4,2560.18,7495.0,14190.0,0.0,0.0,0.0,1,LEGITIMATE,LEGITIMATE
2026-05-15T14:28:02.535Z,2026-05-15T14:29:02.535Z,esp32_2,6,0.1,9568.6,2043.46,6471.0,11837.0,0.0,0.0,0.0,1,LEGITIMATE,LEGITIMATE
2026-05-15T14:28:04.603Z,2026-05-15T14:29:04.603Z,esp32_3,107,1.7833,517.28,2749.43,1.0,28646.0,0.0,1.0189,0.1361,2,DOS_FLOOD,DOS_FLOOD
2026-05-15T14:28:05.208Z,2026-05-15T14:29:05.208Z,esp32_1,5,0.0833,10836.25,2740.09,7495.0,14190.0,0.0,0.0,0.0,1,LEGITIMATE,LEGITIMATE
2026-05-15T14:28:12.535Z,2026-05-15T14:29:12.535Z,esp32_2,6,0.1,10456.8,2223.64,6471.0,12666.0,0.0,0.0,0.0,1,LEGITIMATE,LEGITIMATE
2026-05-15T14:28:14.603Z,2026-05-15T14:29:14.603Z,esp32_3,70,1.1667,664.78,3398.3,1.0,28646.0,0.0,1.0145,0.1195,2,DOS_FLOOD,DOS_FLOOD
2026-05-15T14:28:15.208Z,2026-05-15T14:29:15.208Z,esp32_1,5,0.0833,11328.75,2511.35,7495.0,14190.0,0.0,0.0,0.0,1,LEGITIMATE,LEGITIMATE
2026-05-15T14:28:22.535Z,2026-05-15T14:29:22.535Z,esp32_2,5,0.0833,10111.75,2363.34,6471.0,12666.0,0.0,0.0,0.0,1,LEGITIMATE,LEGITIMATE
2026-05-15T14:28:24.603Z,2026-05-15T14:29:24.603Z,esp32_3,30,0.5,2065.62,6632.3,157.0,28646.0,0.0,1.0345,0.1825,2,DOS_FLOOD,DOS_FLOOD
2026-05-15T14:28:25.208Z,2026-05-15T14:29:25.208Z,esp32_1,5,0.0833,11025.75,2201.9,7495.0,12978.0,0.0,0.0,0.0,1,LEGITIMATE,LEGITIMATE
2026-05-15T14:28:32.535Z,2026-05-15T14:29:32.535Z,esp32_2,6,0.1,10837.4,2671.78,6282.0,13929.0,0.0,0.0,0.0,1,LEGITIMATE,LEGITIMATE
2026-05-15T14:28:34.603Z,2026-05-15T14:29:34.603Z,esp32_3,2,0.0333,24011.0,0.0,24011.0,24011.0,0.0,1.0,0.0,1,SLOW_RATE_ATTACK,SLOW_RATE_ATTACK
2026-05-15T14:28:35.208Z,2026-05-15T14:29:35.208Z,esp32_1,5,0.0833,11327.75,2486.52,7495.0,13990.0,0.0,0.0,0.0,1,LEGITIMATE,LEGITIMATE
2026-05-15T14:28:42.535Z,2026-05-15T14:29:42.535Z,esp32_2,5,0.0833,10634.75,2952.57,6282.0,13929.0,0.0,0.0,0.0,1,LEGITIMATE,LEGITIMATE
2026-05-15T14:28:44.603Z,2026-05-15T14:29:44.603Z,esp32_3,6,0.1,8774.8,10516.92,197.0,24011.0,0.0,1.0,0.0,2,DOS_FLOOD,DOS_FLOOD
2026-05-15T14:28:45.208Z,2026-05-15T14:29:45.208Z,esp32_1,6,0.1,10784.2,2475.48,7495.0,13990.0,0.0,0.0,0.0,1,LEGITIMATE,LEGITIMATE
2026-05-15T14:28:52.535Z,2026-05-15T14:29:52.535Z,esp32_2,5,0.0833,11235.25,2937.89,6282.0,13929.0,0.0,0.0,0.0,1,LEGITIMATE,LEGITIMATE
2026-05-15T14:28:54.603Z,2026-05-15T14:29:54.603Z,esp32_3,43,0.7167,1284.79,4555.48,191.0,24011.0,0.0,1.0238,0.1525,2,DOS_FLOOD,DOS_FLOOD
2026-05-15T14:28:55.208Z,2026-05-15T14:29:55.208Z,esp32_1,5,0.0833,10838.0,2686.39,7774.0,13990.0,0.0,0.0,0.0,1,LEGITIMATE,LEGITIMATE
2026-05-15T14:29:02.535Z,2026-05-15T14:30:02.535Z,esp32_2,6,0.1,9714.8,2898.58,6282.0,13929.0,0.0,0.0,0.0,1,LEGITIMATE,LEGITIMATE
2026-05-15T14:29:04.603Z,2026-05-15T14:30:04.603Z,esp32_3,79,1.3167,509.94,2109.03,118.0,19006.0,0.0,1.0256,0.1581,2,DOS_FLOOD,DOS_FLOOD
2026-05-15T14:29:05.208Z,2026-05-15T14:30:05.208Z,esp32_1,6,0.1,10999.0,2424.26,7774.0,13990.0,0.0,0.0,0.0,1,LEGITIMATE,LEGITIMATE
2026-05-15T14:29:12.535Z,2026-05-15T14:30:12.535Z,esp32_2,6,0.1,9283.4,2347.38,6282.0,12064.0,0.0,0.0,0.0,1,LEGITIMATE,LEGITIMATE
2026-05-15T14:29:14.603Z,2026-05-15T14:30:14.603Z,esp32_3,117,1.95,423.06,1734.2,118.0,19006.0,0.0085,1.0086,0.1606,3,DOS_FLOOD,DOS_FLOOD
2026-05-15T14:29:15.208Z,2026-05-15T14:30:15.208Z,esp32_1,6,0.1,10407.0,2221.66,7774.0,13990.0,0.0,0.0,0.0,1,LEGITIMATE,LEGITIMATE
2026-05-15T14:29:22.535Z,2026-05-15T14:30:22.535Z,esp32_2,7,0.1167,9195.0,2151.95,6282.0,12064.0,0.0,0.0,0.0,1,LEGITIMATE,LEGITIMATE
2026-05-15T14:29:24.603Z,2026-05-15T14:30:24.603Z,esp32_3,124,2.0667,330.43,335.28,14.0,2540.0,0.0726,0.9431,0.2936,2,DOS_FLOOD,DOS_FLOOD
2026-05-15T14:29:25.208Z,2026-05-15T14:30:25.208Z,esp32_1,6,0.1,9961.4,1592.74,7774.0,11762.0,0.0,0.0,0.0,1,LEGITIMATE,LEGITIMATE
2026-05-15T14:29:32.535Z,2026-05-15T14:30:32.535Z,esp32_2,5,0.0833,9206.0,1663.45,7138.0,11772.0,0.0,0.0,0.0,1,LEGITIMATE,LEGITIMATE
2026-05-15T14:29:34.603Z,2026-05-15T14:30:34.603Z,esp32_3,132,2.2,382.95,388.73,14.0,2540.0,0.1288,0.8855,0.3632,2,DOS_FLOOD,DOS_FLOOD
2026-05-15T14:29:35.208Z,2026-05-15T14:30:35.208Z,esp32_1,6,0.1,10704.0,1653.95,7774.0,12323.0,0.0,0.0,0.0,1,LEGITIMATE,LEGITIMATE
2026-05-15T14:29:42.535Z,2026-05-15T14:30:42.535Z,esp32_2,6,0.1,9792.0,1894.0,7138.0,12136.0,0.0,0.0,0.0,1,LEGITIMATE,LEGITIMATE
2026-05-15T14:29:44.603Z,2026-05-15T14:30:44.603Z,esp32_3,137,2.2833,433.9,423.61,14.0,2540.0,0.1898,0.8235,0.418,2,DOS_FLOOD,DOS_FLOOD
